id,word,meaning,furigana,romaji,level,frequency,difficulty
39,内閣,cabinet; (government) ministry,ないかく,naikaku,1,4.48,7.82
40,正当,just; justifiable; right; due; proper; equitable; reasonable; legitimate; lawful,せいとう,seitō,1,4.29,8.010000000000002
41,垢,dirt; filth,あか,aka,1,4.56,7.740000000000001
42,先先月,month before last,せんせんげつ,sensengetsu,1,4.06,8.240000000000002
43,怠慢,negligence; procrastination; carelessness,たいまん,taiman,1,3.19,9.110000000000001
44,無口,reticence,むくち,mukuchi,1,3.49,8.81
45,ご馳走,feast; treating (someone),ごちそう,gochisō,1,3.44,8.860000000000001
46,ポット,pot,,potto,1,3.62,8.68
47,閲覧,inspection; reading,えつらん,etsuran,1,4.65,7.65
48,阻む,to keep someone from doing; to stop; to prevent; to check; to hinder; to obstruct; to oppose; to thwart,はばむ,habamu,1,3.01,9.290000000000001
49,使命,mission; errand; message,しめい,shimei,1,4.0,8.3
50,三日月,new moon; crescent moon,みかずき,mikazuki,1,3.42,8.88
51,意地,disposition; spirit; willpower; obstinacy; backbone; appetite,いじ,iji,1,3.75,8.55
52,音,sound; note,ね,ne,1,5.24,7.0600000000000005
53,造り,make up; structure; physique,つくり,tsukuri,1,3.8,8.5
54,忠告,advice; warning,ちゅうこく,chūkoku,1,3.54,8.760000000000002
55,脈,pulse,みゃく,myaku,1,3.69,8.610000000000001
56,向上,elevation; rise; improvement; advancement; progress,こうじょう,kōjō,1,4.51,7.790000000000001
57,任務,duty; function; office; mission; task,にんむ,ninmu,1,4.44,7.86
58,成熟,maturity; ripeness,せいじゅく,seijuku,1,3.74,8.56
59,余程,very; greatly; much; to a large extent; quite,よっぽど,yoppodo,1,3.21,9.09
60,纏め,settlement; conclusion,まとめ,matome,1,3.49,8.81
61,チャンネル,a channel,,channeru,1,4.55,7.750000000000001
62,心掛け,readiness; intention; aim,こころがけ,kokorogake,1,3.08,9.22
63,雑談,chatting; idle talk,ざつだん,zatsudan,1,4.13,8.170000000000002
64,箪笥,chest of drawers,たんす,tansu,1,2.69,9.610000000000001
65,処分,disposal; dealing; punishment,しょぶん,shobun,1,4.64,7.660000000000001
66,風習,custom,ふうしゅう,fūshū,1,3.54,8.760000000000002
67,取り引き,transactions; dealings; business,とりひき,torihiki,1,3.45,8.850000000000001
68,仕上げ,end; finishing touches; being finished,しあげ,shiage,1,4.05,8.25
69,黴菌,bacteria; germ(s),ばいきん,baikin,1,1.55,10.75
70,側,side; row; surroundings; part; (watch) case,かわ,kawa,1,5.3,7.000000000000001
71,瞑る,to close the eyes,つぶる,tsuburu,1,2.31,9.99
72,満月,full moon,まんげつ,mangetsu,1,3.66,8.64
73,不当,injustice; impropriety; unreasonableness; undeservedness; unfair; invalid,ふとう,futō,1,3.84,8.46
74,度忘れ,lapse of memory; forget for a moment,どわすれ,dowasure,1,1.33,10.97
75,行き違い,misunderstanding; estrangement; disagreement; crossing without meeting; going astray,いきちがい,ikichigai,1,2.6,9.700000000000001
76,独創,originality,どくそう,dokusō,1,3.42,8.88
77,本名,real name,ほんみょう,honmyō,1,4.2,8.100000000000001
78,名誉,honor; credit; prestige,めいよ,meiyo,1,4.51,7.790000000000001
79,兆,signs; omen; symptoms,きざし,kizashi,1,4.24,8.06
80,正常,normalcy; normality; normal,せいじょう,seijō,1,4.29,8.010000000000002
81,取り締まる,to manage; to control; to supervise,とりしまる,torishimaru,1,3.0,9.3
82,可愛がる,to love; to be affectionate,かわいがる,kawaigaru,1,4.05,8.25
83,この頃,recently,このごろ,konogoro,1,5.31,6.990000000000001
84,喧しい,noisy; strict; fussy,やかましい,yakamashii,1,2.12,10.18
85,葬る,to bury; to inter; to entomb; to consign to oblivion; to shelve,ほうむる,hōmuru,1,2.72,9.58
86,印鑑,stamp; seal,いんかん,inkan,1,3.28,9.020000000000001
87,大水,flood,おおみず,ōmizu,1,2.3,10.0
88,好況,prosperous conditions; healthy economy,こうきょう,kōkyō,1,2.37,9.93
89,人質,hostage; prisoner,ひとじち,hitojichi,1,3.98,8.32
90,掲載,appearance (e.g. article in paper),けいさい,keisai,1,4.86,7.44
91,規模,scale; scope; plan; structure,きぼ,kibo,1,4.75,7.550000000000001
92,疎か,neglect; negligence; carelessness,おろそか,orosoka,1,2.98,9.32
93,見方,viewpoint,みかた,mikata,1,4.17,8.13
94,異議,objection; dissent; protest,いぎ,igi,1,3.7,8.600000000000001
95,辞職,resignation,じしょく,jishoku,1,3.86,8.440000000000001
96,沿う,to run along; to follow,そう,sō,1,3.25,9.05
97,真ん中,middle; centre; mid-way,まんなか,mannaka,1,4.31,7.990000000000001
98,布巾,tea-towel; dish cloth,ふきん,fukin,1,2.13,10.170000000000002
99,閉口,shut mouth,へいこう,heikō,1,2.73,9.57
100,如何にも,indeed; really; phrase meaning agreement,いかにも,ikanimo,1,2.49,9.81
101,揺さぶる,to shake; to jolt; to rock; to swing,ゆさぶる,yusaburu,1,2.72,9.58
102,設定,establishment; creation,せってい,settei,1,5.19,7.11
103,絨毯,carpet,じゅうたん,jūtan,1,3.37,8.93
104,背負う,to be burdened with; to carry on back or shoulder,しょう,shō,1,3.39,8.91
105,大胆,bold; daring; audacious,だいたん,daitan,1,4.04,8.260000000000002
106,名付ける,to name (someone),なづける,nazukeru,1,2.9,9.4
107,ファイト,fight,,faito,1,3.98,8.32
108,夜中,all night; the whole night,やちゅう,yachū,1,4.17,8.13
109,辛うじて,barely; narrowly; just manage to do st,かろうじて,karōjite,1,3.14,9.16
110,しくじる,to fail; to fall through; to blunder,,shikujiru,1,2.21,10.09
111,模範,exemplar; exemplification; exemplum; model; example,もはん,mohan,1,3.58,8.72
112,余り,not very (this form only used as adverb); not much; remainder; rest; remnant; surplus; balance; excess; rema,あんまり,anmari,1,4.08,8.22
113,ドライ,dry,,dorai,1,3.87,8.43
114,粥,(rice) gruel,かゆ,kayu,1,3.37,8.93
115,若しも,if,もしも,moshimo,1,0.0,12.3
116,先行,preceding; going first,せんこう,senkō,1,4.41,7.890000000000001
117,有力,1.  influence; prominence; 2.  potent,ゆうりょく,yūryoku,1,3.97,8.33
118,明瞭,clarity,めいりょう,meiryō,1,3.35,8.950000000000001
119,穂,ear (of plant); head (of plant),ほ,ho,1,4.04,8.260000000000002
120,横綱,sumo grand champion,よこづな,yokozuna,1,3.7,8.600000000000001
121,投入,throw; investment; making (an electrical circuit),とうにゅう,tōnyū,1,4.25,8.05
122,察する,to guess; to sense; to presume; to judge; to sympathize with,さっする,sassuru,1,2.83,9.47
123,公,official; public; formal; open; governmental,おおやけ,ōyake,1,4.55,7.750000000000001
124,不良,badness; delinquent; inferiority; failure,ふりょう,furyō,1,4.38,7.920000000000001
125,没落,ruin; fall; collapse,ぼつらく,botsuraku,1,3.32,8.98
126,取り組む,to tackle; to wrestle with; to engage in a bout; to come to grips with,とりくむ,torikumu,1,3.73,8.57
127,兎角,anyhow; anyway; somehow or other; generally speaking; in any case; this and that; many; be apt to,とかく,tokaku,1,1.92,10.38
128,審査,judging; inspection; examination; investigation,しんさ,shinsa,1,4.53,7.7700000000000005
129,上演,performance (e.g. music),じょうえん,jōen,1,3.63,8.670000000000002
130,違える,to change,ちがえる,chigaeru,1,2.31,9.99
131,重んじる,to respect; to honor; to esteem; to prize,おもんじる,omonjiru,1,3.15,9.15
132,捗る,to make progress; to move right ahead (with the work); to advance,はかどる,hakadoru,1,3.44,8.860000000000001
133,ドリル,drill,,doriru,1,3.95,8.350000000000001
134,登校,attendance (at school),とうこう,tōkō,1,3.87,8.43
135,効率,efficiency,こうりつ,kōritsu,1,4.51,7.790000000000001
136,懐く,to become emotionally attached,なつく,natsuku,1,2.62,9.68
137,レギュラー,regular,,regyurā,1,4.15,8.15
138,土木,public works,どぼく,doboku,1,3.66,8.64
139,変革,change; reform; revolution; upheaval; (the) Reformation,へんかく,henkaku,1,3.6,8.700000000000001
140,大筋,outline; summary,おおすじ,ōsuji,1,3.07,9.23
141,人,man; person; people,じん,jin,1,6.56,5.740000000000001
142,何処,where; what place,どこ,doko,1,4.35,7.950000000000001
143,フォーム,foam; form,,fōmu,1,4.01,8.290000000000001
144,取り巻く,to surround; to circle; to enclose,とりまく,torimaku,1,3.32,8.98
145,確信,conviction; confidence,かくしん,kakushin,1,4.33,7.970000000000001
146,軍服,military or naval uniform,ぐんぷく,gunpuku,1,3.44,8.860000000000001
147,創造,creation,そうぞう,sōzō,1,4.38,7.920000000000001
148,膳,(small) table; tray; meal,ぜん,zen,1,3.4,8.9
149,総,whole; all; general; gross,そう,sō,1,4.8,7.500000000000001
150,練る,to knead; to work over; to polish up,ねる,neru,1,3.02,9.280000000000001
151,と,1.  if (conjunction); 2.  promoted pawn (shogi) (abbr),,to,1,7.21,5.090000000000001
152,朝寝坊,oversleeping; late riser,あさねぼう,asanebō,1,2.44,9.860000000000001
153,梅干,dried plum,うめぼし,umeboshi,1,2.72,9.58
154,乗り換え,transfer (trains  buses  etc.),のりかえ,norikae,1,4.1,8.200000000000001
155,戸,counter for houses,こ,ko,1,4.23,8.07
156,風土,natural features; topography; climate; spiritual features,ふうど,fūdo,1,3.32,8.98
157,先に,before; earlier than; ahead; beyond; away; previously; recently,さきに,sakini,1,5.45,6.8500000000000005
158,膜,membrane; film,まく,maku,1,4.05,8.25
159,先だって,recently; the other day,せんだって,sendatte,1,2.56,9.74
160,馬鹿馬鹿しい,stupid,ばかばかしい,bakabakashii,1,3.03,9.270000000000001
161,お蔭,(your) backing; assistance,おかげ,okage,1,2.81,9.49
162,手本,model; pattern,てほん,tehon,1,3.42,8.88
163,コーナー,corner,,kōnā,1,4.54,7.760000000000001
164,福,good fortune,ふく,fuku,1,4.16,8.14
165,巧妙,ingenious; skillful; clever; deft,こうみょう,kōmyō,1,3.59,8.71
166,無言,silence,むごん,mugon,1,3.8,8.5
167,移民,emigration; immigration; emigrant; immigrant,いみん,imin,1,4.17,8.13
168,バー,bar,,bā,1,4.72,7.580000000000001
169,専修,specialization,せんしゅう,senshū,1,2.77,9.530000000000001
170,タイマー,timer,,taimā,1,3.57,8.73
171,本体,substance; real form; object of worship,ほんたい,hontai,1,4.45,7.8500000000000005
172,育ち,breeding; growth,そだち,sodachi,1,4.06,8.240000000000002
173,報酬,remuneration; recompense; reward; toll,ほうしゅう,hōshū,1,4.49,7.8100000000000005
174,緩和,relief; mitigation,かんわ,kanwa,1,4.18,8.120000000000001
175,出血,bleeding; haemorrhage,しゅっけつ,shukketsu,1,3.94,8.360000000000001
176,意向,intention; idea; inclination,いこう,ikō,1,4.01,8.290000000000001
177,諸君,Gentlemen!; Ladies!,しょくん,shokun,1,3.78,8.520000000000001
178,自在,freely; at will,じざい,jizai,1,3.63,8.670000000000002
179,貴女,you; lady,あなた,anata,1,3.9,8.4
180,五月蝿い,noisy; loud; fussy,うるさい,urusai,1,2.29,10.010000000000002
181,排除,exclusion; removal; rejection,はいじょ,haijo,1,4.31,7.990000000000001
182,負傷,injury; wound,ふしょう,fushō,1,4.17,8.13
183,遅れ,delay; lag,おくれ,okure,1,4.66,7.640000000000001
184,一々,one by one; separately,いちいち,ichiichi,1,3.04,9.260000000000002
185,お菜,side dish; accompaniment for rice dishes,おかず,okazu,1,1.01,11.290000000000001
186,お使い,errand,おつかい,otsukai,1,5.01,7.290000000000001
187,手分け,division of labour,てわけ,tewake,1,2.36,9.940000000000001
188,即座に,immediately; right away,そくざに,sokuzani,1,3.78,8.520000000000001
189,叫び,shout; scream; outcry,さけび,sakebi,1,4.03,8.27
190,年生,pupil in .... year; student in .... year,ねんせい,nensei,1,5.4,6.9
191,放り出す,to throw out; to fire; to expel; to give up; to abandon; to neglect,ほうりだす,hōridasu,1,2.38,9.920000000000002
192,箇条書き,itemized form; itemization,かじょうがき,kajōgaki,1,3.08,9.22
193,開拓,reclamation (of wasteland); cultivation; pioneer,かいたく,kaitaku,1,3.99,8.31
194,鉱山,mine (ore),こうざん,kōzan,1,3.85,8.450000000000001
195,何々,which (emphatic),どれどれ,doredore,1,5.0,7.300000000000001
196,経過,passage; expiration; progress,けいか,keika,1,4.37,7.930000000000001
197,挑む,to challenge; to contend for; to make love to,いどむ,idomu,1,3.81,8.49
198,ドライクリーニング,dry cleaning,,doraikurīningu,1,2.49,9.81
199,箇所,passage; place; point; part,かしょ,kasho,1,4.35,7.950000000000001
200,志望,wish; desire; ambition,しぼう,shibō,1,3.86,8.440000000000001
201,負担,burden; charge; responsibility,ふたん,futan,1,4.58,7.720000000000001
202,大衆,general public,たいしゅう,taishū,1,4.09,8.21
203,現われる,to appear; to come in sight; to become visible; to come out; to embody; to materialize; to express oneself,あらわれる,arawareru,1,2.73,9.57
204,妬む,to be jealous; to be envious,ねたむ,netamu,1,2.37,9.93
205,味覚,taste; palate; sense of taste,みかく,mikaku,1,3.61,8.690000000000001
206,究極,ultimate; final; eventual,きゅうきょく,kyūkyoku,1,4.28,8.02
207,誤魔化す,to deceive; to falsify; to misrepresent,ごまかす,gomakasu,1,3.27,9.030000000000001
208,曖昧,vague; ambiguous,あいまい,aimai,1,4.11,8.190000000000001
209,本気,seriousness; truth; sanctity,ほんき,honki,1,4.9,7.4
210,伊井,that one; Italy,いい,ii,1,1.27,11.030000000000001
211,煌びやか,gorgeous; gaudy; dazzling; gay,きらびやか,kirabiyaka,1,0.0,12.3
212,溜まり,collected things; gathering place; arrears,たまり,tamari,1,3.45,8.850000000000001
213,謝絶,refusal,しゃぜつ,shazetsu,1,2.08,10.22
214,植わる,to be planted,うわる,uwaru,1,0.0,12.3
215,雑,rough; crude,ざつ,zatsu,1,4.15,8.15
216,持ち切り,hot topic; talk of the town,もちきり,mochikiri,1,1.74,10.56
217,農耕,farming; agriculture,のうこう,nōkō,1,3.12,9.18
218,暴動,insurrection; rebellion; revolt; riot; uprising,ぼうどう,bōdō,1,3.86,8.440000000000001
219,宝器,treasured article or vessel; outstanding individual,ほうき,hōki,1,4.22,8.080000000000002
220,最善,the very best,さいぜん,saizen,1,3.7,8.600000000000001
221,城下,land near the castle,じょうか,jōka,1,2.78,9.520000000000001
222,愛憎,likes and dislikes,あいにく,ainiku,1,2.72,9.58
223,結束,union; unity,けっそく,kessoku,1,3.49,8.81
224,若干,some; few; number of,じゃっかん,jakkan,1,4.38,7.920000000000001
225,遠ざかる,to go far off,とおざかる,tōzakaru,1,2.85,9.450000000000001
226,継ぎ目,a joint; joining point,つぎめ,tsugime,1,2.64,9.66
227,ほっと,feel relieved,,hotto,1,3.96,8.34
228,産婦人科,maternity and gynecology department,さんふじんか,sanfujinka,1,3.35,8.950000000000001
229,免れる,to escape from; to be rescued from; to avoid; to evade; to avert; to elude; to be exempted; to be relieved,まぬかれる,manukareru,1,3.11,9.190000000000001
230,第,ordinal,だい,dai,1,5.69,6.61
231,漏らす,to let leak; to reveal,もらす,morasu,1,3.37,8.93
232,意図,intention; aim; design,いと,ito,1,4.4,7.9
233,無断,without permission; without notice,むだん,mudan,1,4.08,8.22
234,出演,performance; stage appearance,しゅつえん,shutsuen,1,5.06,7.240000000000001
235,暇,free time; leisure; leave; spare time; farewell,いとま,itoma,1,4.54,7.760000000000001
236,奨励,encouragement; promotion; message; address,しょうれい,shōrei,1,3.59,8.71
237,部下,subordinate person,ぶか,buka,1,4.37,7.930000000000001
238,剃る,to shave,する,suru,1,3.26,9.040000000000001
239,舞う,to dance; to flutter about; to revolve,まう,mau,1,3.5,8.8
240,運営,management; administration; operation,うんえい,un'ei,1,4.99,7.3100000000000005
241,華やか,gay; showy; brilliant; gorgeous; florid,はなやか,hanayaka,1,3.59,8.71
242,実質,substance; essence,じっしつ,jisshitsu,1,4.38,7.920000000000001
243,切っ掛け,chance; start; cue; excuse; motive; impetus; occasion,きっかけ,kikkake,1,2.91,9.39
244,視察,inspection; observation,しさつ,shisatsu,1,3.77,8.530000000000001
245,屈折,bending; indentation; refraction,くっせつ,kussetsu,1,3.15,9.15
246,大部,most (e.g. most part); greater; fairly; a good deal; much,たいぶ,taibu,1,2.13,10.170000000000002
247,静止,stillness; repose; standing still,せいし,seishi,1,3.61,8.690000000000001
248,家計,household economy; family finances,かけい,kakei,1,3.75,8.55
249,作物,literary work,さくぶつ,sakubutsu,1,3.65,8.65
250,投げ出す,to throw down; to abandon; to sacrifice; to throw out,なげだす,nagedasu,1,2.77,9.530000000000001
251,詐欺,fraud; swindle,さぎ,sagi,1,4.71,7.590000000000001
252,此れ,this,これ,kore,1,3.39,8.91
253,箇箇,individual; separate,ここ,koko,1,0.0,12.3
254,保守,conservative; maintaining,ほしゅ,hoshu,1,4.28,8.02
255,時差,time difference,じさ,jisa,1,3.57,8.73
256,管,pipe; tube,かん,kan,1,4.37,7.930000000000001
257,変動,change; fluctuation,へんどう,hendō,1,4.11,8.190000000000001
258,問う,to ask; to question; to charge (i.e. with a crime); to accuse; without regard to (neg),とう,tō,1,3.85,8.450000000000001
259,継ぐ,to succeed,つぐ,tsugu,1,3.48,8.82
260,打開,break in the deadlock,だかい,dakai,1,3.33,8.97
261,待遇,treatment; reception,たいぐう,taigū,1,3.92,8.38
262,活ける,to arrange (flowers),いける,ikeru,1,2.06,10.24
263,仕入れる,to lay in stock; to replenish stock; to procure,しいれる,shiireru,1,2.72,9.58
264,ミリ,milli-; 10^-3,,miri,1,4.17,8.13
265,判定,judgement; decision; award; verdict,はんてい,hantei,1,4.3,8.0
266,前提,preamble; premise; reason; prerequisite,ぜんてい,zentei,1,4.41,7.890000000000001
267,弛み,slack; slackening; dullness; letdown,たるみ,tarumi,1,1.77,10.530000000000001
268,跡継ぎ,heir; successor,あとつぎ,atotsugi,1,2.96,9.34
269,誘惑,temptation; allurement; lure,ゆうわく,yūwaku,1,4.14,8.16
270,背く,to run counter to; to go against; to disobey; to infringe,そむく,somuku,1,2.69,9.610000000000001
271,遭難,disaster; shipwreck; accident,そうなん,sōnan,1,3.58,8.72
272,手遅れ,too late; belated treatment,ておくれ,teokure,1,3.84,8.46
273,束縛,restraint; shackles; restriction; confinement; binding,そくばく,sokubaku,1,3.54,8.760000000000002
274,蝶,butterfly,ちょう,chō,1,3.98,8.32
275,頻りに,frequently; repeatedly; incessantly; eagerly,しきりに,shikirini,1,1.6,10.700000000000001
276,拐う,to carry off; to run away with; to kidnap; to abduct,さらう,sarau,1,0.0,12.3
277,酷い,cruel; awful; severe; very bad; serious; terrible; heavy; violent,ひどい,hidoi,1,4.58,7.720000000000001
278,丁々,clashing of swords; felling of trees; ringing of an ax,とうとう,tōtō,1,0.0,12.3
279,自信,self-confidence,じしん,jishin,1,4.68,7.620000000000001
280,決行,doing (with resolve); carrying out (i.e. a plan),けっこう,kekkō,1,3.45,8.850000000000001
281,措置,measure; step,そち,sochi,1,4.32,7.98
282,どうやら,it seems like; somehow or other,,dōyara,1,4.3,8.0
283,明白,obvious; overt; plainly; frankly,あからさま,akarasama,1,3.78,8.520000000000001
284,向き,direction; situation; exposure; aspect; suitability,むき,muki,1,4.27,8.030000000000001
285,インフレ,inflation,,infure,1,3.52,8.780000000000001
286,切れ目,break; pause; gap; end; rift; interruption; cut; section; notch; incision; end (of a task),きれめ,kireme,1,3.12,9.18
287,諮る,to consult with; to confer,はかる,hakaru,1,1.95,10.350000000000001
288,得点,score; points made; marks obtained; runs,とくてん,tokuten,1,4.2,8.100000000000001
289,憤慨,indignation; resentment,ふんがい,fungai,1,3.29,9.010000000000002
290,獲物,game; spoils; trophy,えもの,emono,1,3.69,8.610000000000001
291,主人公,protagonist; main character; hero(ine) (of a story); head of household,しゅじんこう,shujinkō,1,4.75,7.550000000000001
292,浴室,bathroom; bath,よくしつ,yokushitsu,1,3.5,8.8
293,施設,institution; establishment; facility; (army) engineer,しせつ,shisetsu,1,5.02,7.280000000000001
294,不意,sudden; abrupt; unexpected; unforeseen,ふい,fui,1,3.42,8.88
295,偏る,to be one-sided; to incline; to be partial; to be prejudiced; to lean; to be biased,かたよる,katayoru,1,2.77,9.530000000000001
296,初,first; new,はつ,hatsu,1,5.25,7.050000000000001
297,御,go-; honourable,ご,go,1,4.75,7.550000000000001
298,コントラスト,contrast,,kontorasuto,1,3.22,9.08
299,相対,confrontation; facing; between ourselves; no third party; tete-a-tete,あいたい,aitai,1,4.01,8.290000000000001
300,壷,tsubo jar; pot; vase,つぼ,tsubo,1,3.36,8.940000000000001
301,産む,to give birth; to deliver; to produce,うむ,umu,1,3.67,8.63
302,磁器,porcelain; china,じき,jiki,1,2.96,9.34
303,変遷,change; transition; vicissitudes,へんせん,hensen,1,3.45,8.850000000000001
304,毟る,to pluck; to pick; to tear,むしる,mushiru,1,2.05,10.25
305,料,material; charge; rate; fee,りょう,ryō,1,4.72,7.580000000000001
306,落ち込む,to fall into; to feel down (sad),おちこむ,ochikomu,1,3.52,8.780000000000001
307,控室,waiting room,ひかえしつ,hikaeshitsu,1,2.79,9.510000000000002
308,おおい,hey!,,ōi,1,3.68,8.620000000000001
309,持続,continuation,じぞく,jizoku,1,3.94,8.360000000000001
310,貫禄,presence; dignity,かんろく,kanroku,1,3.09,9.21
311,児,child; the young of animals,こ,ko,1,4.41,7.890000000000001
312,良い,good,いい,ii,1,5.77,6.530000000000001
313,本格,propriety; fundamental rules,ほんかく,honkaku,1,4.58,7.720000000000001
314,為さる,to do,なさる,nasaru,1,0.0,12.3
315,栽培,cultivation,さいばい,saibai,1,4.18,8.120000000000001
316,配給,distribution (eg. films  rice),はいきゅう,haikyū,1,3.55,8.75
317,手当て,allowance; compensation; treatment; medical care,てあて,teate,1,3.35,8.950000000000001
318,細胞,cell (biology),さいぼう,saibō,1,4.65,7.65
319,議案,legislative bill,ぎあん,gian,1,3.04,9.260000000000002
320,演じる,to perform (a play); to play (a part); to act (a part); to commit (a blunder),えんじる,enjiru,1,4.12,8.18
321,実業家,industrialist; businessman,じつぎょうか,jitsugyōka,1,3.48,8.82
322,軍艦,warship; battleship,ぐんかん,gunkan,1,3.57,8.73
323,恥,shame; embarrassment,はじ,haji,1,4.29,8.010000000000002
324,勤まる,to be fit for; to be equal to; to function properly,つとまる,tsutomaru,1,1.82,10.48
325,名高い,famous; celebrated; well-known,なだかい,nadakai,1,3.22,9.08
326,前置き,preface; introduction,まえおき,maeoki,1,3.15,9.15
327,灰皿,ashtray,はいさら,haisara,1,3.37,8.93
328,模倣,imitation; copying,もほう,mohō,1,3.78,8.520000000000001
329,填まる,to get into; to go into; to fit; to be fit for; to suit; to fall into; to plunge into; to be deceived; to be,はまる,hamaru,1,1.93,10.370000000000001
330,加留多,(pt:) (n) playing cards (pt: carta),かるた,karuta,1,3.5,8.8
331,だらけ,implying (negatively) that something is full of  e.g. mistakes,,darake,1,4.58,7.720000000000001
332,返答,reply,へんとう,hentō,1,3.8,8.5
333,藻掻く,to struggle; to wriggle; to be impatient,もがく,mogaku,1,2.58,9.72
334,下吏,lower official,かり,kari,1,2.58,9.72
335,格,status; character; case,かく,kaku,1,4.36,7.94
336,出社,arrival (in a country  at work  etc.),しゅっしゃ,shussha,1,3.53,8.770000000000001
337,ボルト,volt; bolt,,boruto,1,4.01,8.290000000000001
338,奮闘,hard struggle; strenuous effort,ふんとう,funtō,1,3.67,8.63
339,創刊,launching (e.g. newspaper); first issue,そうかん,sōkan,1,3.53,8.770000000000001
340,取り立てる,to collect; to extort; to appoint; to promote,とりたてる,toritateru,1,2.33,9.97
341,再現,reappearance; reproduction; return; revival,さいげん,saigen,1,4.49,7.8100000000000005
342,員,member,いん,in,1,5.18,7.120000000000001
343,引き受ける,to undertake; to take up; to take over; to be responsible for; to guarantee; to contract (disease),ひきうける,hikiukeru,1,3.42,8.88
344,長,chief; head,おさ,osa,1,5.15,7.15
345,介護,nursing,かいご,kaigo,1,4.43,7.870000000000001
346,あられ,kind of cookie; cartoon character,,arare,1,4.74,7.5600000000000005
347,庶民,masses; common people,しょみん,shomin,1,3.97,8.33
348,面する,to face on; to look out on to,めんする,mensuru,1,2.87,9.43
349,天才,genius; prodigy; natural gift,てんさい,tensai,1,4.54,7.760000000000001
350,仕様,way; method; resource; remedy; (technical) specification,しよう,shiyō,1,4.77,7.530000000000001
351,制定,enactment; establishment; creation,せいてい,seitei,1,3.87,8.43
352,処罰,punishment,しょばつ,shobatsu,1,3.75,8.55
353,部,department; part; category; counter for copies of a newspaper or magazine,ぶ,bu,1,5.4,6.9
354,徹する,to sink in; to penetrate; to devote oneself; to believe in; to go through; to do intently and exclusively,てっする,tessuru,1,2.9,9.4
355,含嗽,gargle; rinse mouth,うがい,ugai,1,0.0,12.3
356,鉛,lead (the metal),なまり,namari,1,3.5,8.8
357,根本,origin; source; foundation; root; base; principle,こんぽん,konpon,1,4.18,8.120000000000001
358,沸騰,boiling; seething,ふっとう,futtō,1,3.65,8.65
359,神秘,mystery,しんぴ,shinpi,1,4.02,8.280000000000001
360,気流,atmospheric current,きりゅう,kiryū,1,3.14,9.16
361,諄い,verbose; importunate; heavy (taste),くどい,kudoi,1,1.12,11.18
